Type;FPL1026;
Version;1.90SP1;
Date;29.Dec 2023;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;1000000000.000000;Hz
Freq Offset;0.000000;Hz
Start;0.000000;Hz
Stop;2000000000.000000;Hz
Span;2000000000.000000;Hz
Ref Level;0.000000;dBm
Level Offset;0.000000;dB
Rf Att;13.000000;dB
El Att;0.000000;dB
RBW;1000000.000000;Hz
VBW;1000000.000000;Hz
SWT;0.004000;s
Sweep Count;0;
Window;1;Frequency Sweep
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;1;
Trace Mode;VIEW;
740000000;-70.9519195556640625;-102.82466888427734375
742000000;-74.7516021728515625;-90.2531280517578125
744000000;-75.14916229248046875;-92.27524566650390625
746000000;-70.0539703369140625;-92.85727691650390625
748000000;-72.25000762939453125;-92.753448486328125
750000000;-72.18134307861328125;-99.48160552978515625
752000000;-75.87296295166015625;-93.25281524658203125
754000000;-74.89117431640625;-95.54815673828125
756000000;-72.19197845458984375;-88.36475372314453125
758000000;-74.82932281494140625;-92.1286468505859375
760000000;-73.39783477783203125;-93.84454345703125
762000000;-70.82448577880859375;-102.031036376953125
764000000;-71.05511474609375;-110.6950531005859375
766000000;-75.4881134033203125;-107.8553619384765625
768000000;-72.96076202392578125;-94.0753021240234375
770000000;-72.74131011962890625;-92.6922607421875
772000000;-73.2706451416015625;-90.5160369873046875
774000000;-72.52783966064453125;-87.32939910888671875
776000000;-72.0656890869140625;-101.47332763671875
778000000;-73.3946380615234375;-100.16161346435546875
780000000;-72.5844573974609375;-107.6978607177734375
782000000;-74.02103424072265625;-97.19680023193359375
784000000;-75.1137847900390625;-104.23541259765625
786000000;-71.24237060546875;-105.51549530029296875
788000000;-70.68988037109375;-88.3006134033203125
790000000;-70.72660064697265625;-98.49602508544921875
792000000;-74.08631134033203125;-84.202392578125
