Type;FPL1026;
Version;1.90SP1;
Date;03.Jan 2024;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;1016487360.000000;Hz
Freq Offset;0.000000;Hz
Start;75295360.000000;Hz
Stop;1957679360.000000;Hz
Span;1882384000.000000;Hz
Ref Level;0.000000;dBm
Level Offset;0.000000;dB
Rf Att;13.000000;dB
El Att;0.000000;dB
RBW;1000000.000000;Hz
VBW;1000000.000000;Hz
SWT;0.003770;s
Sweep Count;0;
Window;1;Frequency Sweep
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;1;
Trace Mode;CLR/WRITE;
496949376;-77.08965301513671875;-101.3802642822265625
498831760;-76.41942596435546875;-103.155059814453125
500714144;-75.67179107666015625;-102.72991180419921875
502596528;-73.10697174072265625;-97.16701507568359375
504478912;-73.08029937744140625;-88.19016265869140625
506361296;-79.89363861083984375;-101.893157958984375
508243680;-72.43253326416015625;-108.03545379638671875
510126064;-77.7940521240234375;-84.78177642822265625
512008448;-74.77330780029296875;-100.69952392578125
513890832;-75.4203643798828125;-94.72832489013671875
515773216;-75.137176513671875;-88.18186187744140625
517655600;-73.56356048583984375;-87.63974761962890625
519537984;-76.07220458984375;-108.41559600830078125
521420368;-74.47241973876953125;-103.7790679931640625
523302752;-71.510894775390625;-106.93941497802734375
525185136;-78.14943695068359375;-106.2073822021484375
527067520;-71.03641510009765625;-95.0673370361328125
528949904;-75.3040771484375;-109.59088897705078125
530832288;-76.0080413818359375;-105.74298095703125
532714672;-75.98389434814453125;-95.7736053466796875
534597056;-75.1415252685546875;-99.15538787841796875
536479440;-76.2440948486328125;-106.45697784423828125
538361824;-70.562286376953125;-84.74745941162109375
540244208;-74.4205169677734375;-95.64605712890625
542126592;-74.9405517578125;-95.57273101806640625
544008976;-74.16133880615234375;-109.321014404296875
545891360;-72.978912353515625;-92.64211273193359375
547773744;-71.1688995361328125;-98.171356201171875
549656128;-74.411773681640625;-101.9898223876953125
551538512;-81.81195831298828125;-107.95880889892578125
553420896;-75.1124725341796875;-103.33786773681640625
555303280;-72.336151123046875;-85.8821563720703125
557185664;-75.02164459228515625;-88.2460784912109375
559068048;-72.10858154296875;-98.74417877197265625
560950432;-72.623382568359375;-102.3850250244140625
562832816;-74.004180908203125;-103.455352783203125
564715200;-75.2735595703125;-109.049560546875
566597584;-75.47170257568359375;-110.85901641845703125
568479968;-75.649017333984375;-91.812469482421875
570362352;-74.85128021240234375;-90.8757476806640625
572244736;-75.048828125;-107.66699981689453125
574127120;-78.9675140380859375;-94.841461181640625
576009504;-74.16593170166015625;-95.076141357421875
577891888;-72.3411407470703125;-98.22429656982421875
579774272;-72.18357086181640625;-90.6760711669921875
581656656;-72.785430908203125;-96.68243408203125
583539040;-73.24334716796875;-103.1152191162109375
585421424;-72.65778350830078125;-95.94451141357421875
587303808;-76.96494293212890625;-96.7659454345703125
589186192;-76.31418609619140625;-103.4312744140625
591068576;-78.62784576416015625;-112.00852203369140625
592950960;-74.91921234130859375;-97.09342193603515625
594833344;-71.74443817138671875;-100.04541015625
596715728;-73.02304840087890625;-97.892120361328125
598598112;-70.40225982666015625;-103.38274383544921875
600480496;-78.78639984130859375;-100.21825408935546875
602362880;-77.07880401611328125;-107.7884521484375
604245264;-79.19797515869140625;-94.205780029296875
606127648;-76.535247802734375;-103.1309051513671875
608010032;-73.435699462890625;-100.21441650390625
609892416;-72.71910858154296875;-103.34529876708984375
611774800;-73.58742523193359375;-93.3265228271484375
613657184;-76.51981353759765625;-109.85437774658203125
615539568;-72.2621307373046875;-123.94875335693359375
617421952;-74.21190643310546875;-98.34912872314453125
619304336;-75.2458343505859375;-94.37874603271484375
621186720;-72.1044921875;-101.04288482666015625
623069104;-76.566070556640625;-113.11824798583984375
624951488;-71.68302154541015625;-93.529754638671875
626833872;-72.9498748779296875;-115.2164154052734375
628716256;-72.19005584716796875;-101.9906768798828125
630598640;-71.32520294189453125;-89.21743011474609375
632481024;-73.53607940673828125;-93.52097320556640625
634363408;-72.69364166259765625;-94.91179656982421875
636245792;-73.274993896484375;-103.04730224609375
638128176;-74.56099700927734375;-97.19008636474609375
640010560;-72.51749420166015625;-92.87030029296875
641892944;-79.5189666748046875;-98.23201751708984375
643775328;-74.5774078369140625;-94.642974853515625
645657712;-74.76355743408203125;-96.73687744140625
647540096;-74.9631195068359375;-90.55872344970703125
649422480;-76.24127960205078125;-83.64775848388671875
651304864;-74.77105712890625;-98.976318359375
653187248;-69.9188079833984375;-102.34801483154296875
655069632;-72.6914520263671875;-98.7302703857421875
656952016;-74.0810546875;-95.234649658203125
658834400;-77.09633636474609375;-100.91595458984375
660716784;-71.746002197265625;-109.28081512451171875
662599168;-75.8748779296875;-99.16393280029296875
664481552;-73.53231048583984375;-93.7537384033203125
666363936;-75.6326904296875;-90.44788360595703125
668246320;-74.90189361572265625;-109.1380462646484375
670128704;-75.70339202880859375;-91.62284088134765625
672011088;-73.3697967529296875;-100.43424224853515625
673893472;-74.95215606689453125;-105.91207122802734375
